,0
"""ITALY,COGOZZO DI VILLA CARCINA,25069""
","45.6437354,10.1954282"
"""NETHERLANDS,VENLO,5928""
","51.4094401,6.0930958"
"""UNITED KINGDOM,SKIPTON,BD23 1UP""
","53.9562205,-2.0345111"
"""ITALY,MELPIGNANO,73020""
","40.1562375,18.291137"
"""UNITED KINGDOM,HARLOW,CM19 5SU""
","51.76571,0.0620581"
"""ITALY,MODENA,41100""
","44.6446127,10.9371698"
"""FRANCE,SABLE SUR SARTHE  CEDEX,72302""
","47.8404856,-0.3334185"
"""ITALY,BRUNICO,39031""
","46.7965736,11.9380416"
"""GERMANY,WILSDRUFF,1723""
","51.0513778,13.5334176"
"""ITALY,GUASTICCE (LI),57017""
","43.597632,10.4088595"
"""FRANCE,CALUIRE,69300""
","45.7964534,4.8511366"
"""ITALY,CASCINE VICA RIVOLI,10090""
","45.0699446,7.5404307"
"""ITALY,MORCONE,82026""
","41.3397702,14.6654553"
"""POLAND,ZAGORZ,38-540""
","49.5143,22.26707"
"""FRANCE,CHALMAISON,77650""
","48.483055,3.251655"
"""FRANCE,MAREUIL SUR LAY,85320""
","46.5338143,-1.2233481"
"""FRANCE,ST LOUP,69490""
","45.890992,4.492957"
"""FRANCE,HOUDAN,78550""
","48.789808,1.601126"
"""GERMANY,WESEL,46483""
","51.663334,6.6192246"
"""ITALY,ALBIATE ,20847""
","45.6554057,9.2486562"
"""ITALY,CARDANO AL CAMPO,21010""
","45.6455568,8.7716745"
"""ITALY,PORTOGRUARO,30026""
","45.7805759,12.8373992"
"""GERMANY,FREINHAUSEN,86558""
","48.6263462,11.429934"
"""SPAIN,MÁLAGA,29004""
","36.6819541,-4.474826"
"""UNITED KINGDOM,GLOUCESTER,GL1 55Q""
","51.8604806,-2.2473919"
"""GERMANY,HÖXTER,37671""
","51.7980896,9.3510271"
"""AUSTRIA,ST. VALENTIN,4300""
","48.1751847,14.5254825"
"""GERMANY,HOMBERG-NIEDEROFLEIDEN,35315""
","50.7539258,8.972237"
"""UNITED KINGDOM,YORK,YO41 1AL""
","53.9924083,-0.9174198"
"""ITALY,RUBIERA,42048""
","44.6529827,10.7806381"
"""BELGIUM,ST TRUIDEN,3800""
","50.8019192,5.2202655"
"""FRANCE,COEX,85220""
","46.697457,-1.762711"
"""SPAIN,BURGOS,9080""
","42.4553994,-3.7246018"
"""GERMANY,HOFGEISMAR,34369""
","51.4970925,9.3860472"
"""GERMANY,LOHR AM MAIN,97816""
","49.9892207,9.5722309"
"""ITALY,CHIVASSO,10034""
","45.1900384,7.888952"
"""BELGIUM,MENEN,8930""
","50.7870337,3.1708539"
"""ITALY,MARCON,30020""
","45.5574362,12.2989231"
"""ITALY,POTENZA,85100""
","40.6404067,15.8056041"
"""ITALY,FORNO CANAVESE,10084""
","45.3475948,7.585806"
"""FRANCE,BOURBON LANCY,71140""
","46.61921,3.773899"
"""ITALY,MODENA ,41100""
","44.6446127,10.9371698"
"""FRANCE,VITRY SUR SEINE,94400""
","48.792001,2.39851"
"""GERMANY,ELTERLEIN,9481""
","50.57691,12.86895"
"""GERMANY,ERDING,85435""
","48.3114648,11.9188758"
"""ITALY,RIVALTA DI TORINO,10040""
","45.0195966,7.5123336"
"""BELGIUM,KONTICH,2550""
","51.1267179,4.4401844"
"""UNITED KINGDOM,BASILDON,SS14 3AD""
","51.5865547,0.4719755"
"""NETHERLANDS,DUIVEN,6921 RC""
","51.9660897,6.0142532"
"""NETHERLANDS,VEENENDAAL,3903 LV""
","52.0083975,5.5710825"
"""FRANCE,LE BLANC,36300""
","46.633239,1.064289"
"""GERMANY,MUELSEN,8132""
","50.7323536,12.5812468"
"""ITALY,PRATO DI CORREGGIO (RE),42015""
","44.7144408,10.7445518"
"""ITALY,COLOGNE BRESCIANO,25033""
","45.5774872,9.9390689"
"""ITALY,REGGIO EMILIA,42100""
","44.682721,10.608522"
"""ITALY,FUSIGNANO,48034""
","44.4679898,11.9594041"
"""GERMANY,BERLIN,12681""
","52.5546409,13.539811"
"""GERMANY,KALTENNORDHEIM,36452""
","50.628049,10.1587077"
"""ITALY,SEZZE SCALO (LT),4010""
","41.4990747,13.0389304"
"""SPAIN,CADRETE (ZARAGOZA),50420""
","41.5553673,-0.9611608"
"""GERMANY,HEILIGENHAUS,42571""
","51.1126657,8.6174915"
"""ITALY,VILLASANTA,20852""
","45.606179,9.3015087"
"""UNITED KINGDOM,WORCESTER,WR5 3DF""
","52.1791653,-2.2223943"
"""ITALY,UBOLDO,21040""
","45.6142231,9.0043619"
"""UNITED KINGDOM,YSTRAD MYNACH,CF82 7RJ""
","51.6291346,-3.2328535"
"""BELGIUM,HASSELT,3500""
","50.9215166,5.3447405"
"""GERMANY,KUEMMERSBRUCK,92245""
","49.4189241,11.8899655"
"""FRANCE,SAUTRON,44880""
","47.2703578,-1.6785403"
"""SPAIN,BELLVEI,43719""
","41.2398032,1.5772232"
"""UNITED KINGDOM,WILLENHALL,WV13 3SJ""
","52.5916439,-2.0790636"
"""BELGIUM,LO RENINGE,8647""
","50.9688486,2.7818969"
"""ITALY,MODENA,41122""
","44.647128,10.9252269"
"""ITALY,SAN PONSO,10080""
","45.3504395,7.6717921"
"""GERMANY,LUDWIGSBURG,71636""
","48.8847044,9.159813"
"""SPAIN,CASLADA,28821""
","40.4299768,-3.5635559"
"""FRANCE,TRAPPES,78190""
","48.7772276,1.9973063"
"""ITALY,CAMPOGALLIANO (MO),41011""
","44.6917626,10.8448554"
"""CZECH REPUBLIC,PROSTEJOV,797 11""
","49.8573265,15.8601526"
"""ITALY,MOIE DI MAIOLATI SPONTINI,60030""
","43.5027548,13.1389283"
"""ITALY,MIRABELLO MONFERRATO,15040""
","45.0339287,8.5232755"
"""GERMANY,AMBERG,92224""
","49.442171,11.8377684"
"""ITALY,VENISSIEUX,69200""
","45.707868,4.86544"
"""ITALY,ARGELATO,40050""
","44.6447617,11.3447429"
"""ITALY,BRIGNANO GERA D'ADDA,24053""
","45.5452605,9.6471512"
"""UNITED KINGDOM,LUTON,LU4 9DT""
","51.9145847,-0.476776"
"""UNITED KINGDOM,SUNDERLAND,SR4 9EN""
","54.893446,-1.4529428"
"""UNITED KINGDOM,WEST BROMWICH,B71 3JZ""
","52.5474851,-1.9907841"
"""ITALY,TARANTO,74123""
","40.4643606,17.2470303"
"""FRANCE,SAINT ETIENNE,42000""
","45.450626,4.3859432"
"""ITALY,FIANO,10070""
","45.2136509,7.5273638"
"""SPAIN,MARKINA, BIZKAIA,48270""
","43.2674978,-2.4937231"
"""UNITED KINGDOM,SALISBURY,SP2 7HP""
","51.0738769,-1.8138236"
"""ITALY,VERONA,37139""
","45.4473521,10.9188362"
"""BELGIUM,HOOGLEDE GITS,8830""
","50.9970116,3.0999918"
"""GERMANY,OCHSENHAUSEN,88416""
","48.069478,9.9515912"
"""ITALY,BOLLADELLO DI CAIRATE,21050""
","45.6793237,8.8407191"
"""ITALY,BRANDIZZO,10032""
","45.1767924,7.8365246"
"""POLAND,LACK,09-520""
","52.4506032,19.6362734"
"""ITALY,PALAZZOLO SULL  OGLIO,10050""
","45.5979399,9.882059"
"""POLAND,PLOCK,09-41""
","52.5247859,19.6758914"
"""ITALY,CALDERARA DI RENO,40012""
","44.5674806,11.2726182"
"""GERMANY,VOELKLINGEN,66333""
","49.2556226,6.8588948"
"""NETHERLANDS,ENS,8307 DE""
","52.6415304,5.8183528"
"""ITALY,CASTELNOVO BARIANO (RO),45030""
","45.0248371,11.2937564"
"""ITALY,SALERNO,84100""
","40.6755348,14.7685227"
"""AUSTRIA,LEND,5651""
","47.299773,13.0426791"
"""ITALY,SUZZARA,46029""
","44.9918729,10.742497"
"""FRANCE,VETRAZ-MONTHOUX,74106""
","46.1744571,6.2580957"
"""GERMANY,HILCHENBACH,57271""
","50.9917621,8.1174394"
"""ITALY,ARZANO,80022""
","40.9095758,14.2650296"
"""GERMANY,SPEYER,67346""
","49.3172765,8.4412172"
"""ITALY,NOVA MILANESE,20834""
","45.5919816,9.1977705"
"""GERMANY,BROISTEDT,38268""
","52.187387,10.3304517"
"""FRANCE,LIBOURNE CEDEX,33503""
","44.9158731,-0.2363562"
"""FRANCE,AMIENS CEDEX 2,80009""
","49.8905368,2.3081396"
"""BELGIUM,ZEDELGEM,8210""
","51.1262334,3.1663061"
"""GERMANY,OFFENBACH AM MAIN,63069""
","50.0747701,8.755732"
"""NETHERLANDS,BREDA,4823 AE""
","51.6124622,4.719728"
"""UNITED KINGDOM,DUNSTABLE,LU5 4JY""
","51.8867259,-0.5074331"
"""CZECH REPUBLIC,CESKE BUDEJOVICE,37004""
","48.9903473,14.4754784"
"""GERMANY,PASSAU,94034""
","48.5882961,13.4832976"
"""ITALY,DRONERO,12025""
","44.4658423,7.3656691"
"""ITALY,MINERBE,37046""
","45.2409498,11.3295949"
"""FRANCE,LES SORINIERES,44480""
","46.566961,-1.528172"
"""FRANCE,LA FLECHE,72200""
","47.69589,-0.074646"
"""ITALY,BUSANO ,10080""
","45.3288401,7.65674"
"""SPAIN,MADRID (SPAIN),28031""
","40.3809156,-3.5863313"
"""ITALY,MONTICHIARI,25018""
","45.4135375,10.367213"
"""UNITED KINGDOM,NURSLING,SO16 0YS""
","50.9384922,-1.4808508"
"""BELGIUM,HARELBEKE,8530""
","50.8455798,3.3121073"
"""ITALY,CARMAGNOLA,10022""
","44.8458851,7.7174363"
"""ITALY,CUNEO,12100""
","44.3844766,7.5426711"
"""BELGIUM,HASSELT KURINGEN,3511""
","50.943353,5.3041214"
"""FINLAND,LAITILA,23800""
","60.8742163,21.6981089"
"""ITALY,CARPANETO PIACENTINO ,29013""
","44.9137208,9.788066"
"""CZECH REPUBLIC,TRUTNOV,541 03""
","50.5710011,15.951557"
"""CZECH REPUBLIC,VELKA BITES,595 01""
","49.2886269,16.2258566"
"""GERMANY,ERWITTE,59597""
","51.6117813,8.300746"
"""ITALY,SEZZE,4018""
","41.5437494,13.0440686"
"""FRANCE,LA ROCHE-SUR-YON,85000""
","46.670511,-1.426442"
"""ITALY,FERRARA,44124""
","44.8381237,11.619787"
"""NETHERLANDS,ROERMOND,6045 GG""
","51.1743616,6.0184513"
"""ITALY,LAIVES,39055""
","46.4271136,11.3372914"
"""ITALY,BAGNOLO IN PIANO,42011""
","44.7638127,10.6733645"
"""GERMANY,NEUMUENSTER,24539""
","54.0462788,9.9930497"
"""FRANCE,ISSOIRE,63500""
","45.54151,3.248128"
"""ITALY,CASCINE VICA,10090""
","45.0699446,7.5404307"
"""BELGIUM,STADEN-OOSTNIEUWKERKE,8840""
","50.9423778,3.0642828"
"""SPAIN,ALBACETE,2080""
","38.5744522,-2.6283866"
"""ROMANIA,FAGARAS,505200""
","45.8444191,24.9704264"
"""BELGIUM,WOUMEN,8600""
","50.9983803,2.8697759"
"""BELGIUM,DIKSMUIDE,8600""
","51.033331,2.8658393"
"""ITALY,CASTEL DI CASIO,40030""
","44.1641151,11.0380005"
"""FRANCE,MORIGNY CHAMPIGNY,91150""
","48.446833,2.181743"
"""PORTUGAL,VILA NOVA CERVEIRA,4920-011""
","41.9711535,-8.6873018"
"""BELGIUM,BRUSSEL,1082""
","50.8652842,4.2943085"
"""FRANCE,MELUN CEDEX,77006""
","48.3481478,2.607068"
"""ITALY,BREGANZE,36042""
","45.708245,11.5574545"
"""GERMANY,SCHWIEBERDINGEN,71701""
","48.8807971,9.0813174"
"""ITALY,PESCHIERA BORROMEO,20068""
","45.4392174,9.3037435"
"""BELGIUM,ZONNEBEKE,8980""
","50.8588489,3.0141774"
"""ITALY,LUOGOSANO,83040""
","40.9827573,14.9960248"
"""ITALY,PIANFEI,12080""
","44.3697211,7.7083694"
"""GERMANY,ULM,89079""
","48.338844,9.9464176"
"""BELGIUM,ROESELARE,8800""
","50.9387847,3.1451697"
"""ITALY,CENTO (FE),44042""
","44.7315319,11.2908156"
"""POLAND,LODZ,93331""
","51.7592485,19.4559833"
"""ITALY,CORNAREDO,20010""
","45.5015276,9.0239284"
"""FRANCE,VIVIER AU COURT,8440""
","46.535114,-1.2244139"
"""ITALY,ALONTE,36040""
","45.3630541,11.4272243"
"""BELGIUM,KORTEMARK,8610""
","51.0258933,3.0076914"
"""ITALY,TORREGLIA (PD),35038""
","45.3351763,11.7314351"
"""FRANCE,CHÂTELLERAULT,86100""
","46.816487,0.548146"
"""ITALY,AGRATE BRIANZA,20864""
","45.5767892,9.350906"
"""ITALY,SAN SALVO,66050""
","42.0440032,14.7339367"
"""GERMANY,WALTERSHAUSEN,99880""
","50.9318497,10.5608574"
"""POLAND,CZESTOCHOWA,42-200""
","50.8118195,19.1203094"
"""POLAND,BYDGOSZCZ,85-862""
","53.1064834,18.0465888"
"""FRANCE,CONTAMINE-SUR-ARVE,74130""
","46.128077,6.34251"
"""ITALY,MONTEGALDA,36047""
","45.4441893,11.6751384"
"""ITALY,MARANELLO,41053""
","44.5263024,10.8666834"
"""UNITED KINGDOM,NEWBURY,RG19 6HW""
","51.401409,-1.3231139"
"""ITALY,FISCIANO,84084""
","40.7731935,14.7965608"
"""ITALY,VALSAMOGGIA,40053""
","44.5043141,11.0799504"
"""ITALY,ALPIGNANO,10091""
","45.0929488,7.523704"
"""ITALY,RODANO MILLEPINI,20090""
","45.4709898,9.3360614"
"""ITALY,RIVALTA,10100""
","45.6836426,11.3984408"
"""CZECH REPUBLIC,BOR U TACHOVA,34802""
","49.7116058,12.775176"
"""GERMANY,HAMBURG,22339""
","53.6447228,10.0383761"
"""ITALY,SAN CESARIO SUL PANARO,41018""
","44.5621048,11.0348074"
"""ITALY,MONSANO,60030""
","43.5626824,13.2482313"
"""FRANCE,SAINT PRIEST CEDEX,69808""
","45.7201469,4.9729177"
"""UNITED KINGDOM,WARLEY,B67 5AS""
","52.477584,-1.9783969"
"""SPAIN,FUENLABRADA,28946""
","40.2728593,-3.7790684"
"""FRANCE,ARPAJON,91290""
","48.589172,2.246237"
"""ITALY,REGGIOLO,42046""
","44.9177593,10.8025268"
"""GERMANY,BESIGHEIM-OTTMARSHEIM,74354""
","48.9966629,9.1575486"
"""POLAND,STARACHOWICE,27-200""
","51.0416779,21.0733669"
"""NORWAY,RAUFOSS,2830""
","60.7263781,10.6171806"
"""ITALY,CASTELNUOVO CALCEA ,14040""
","44.7841521,8.2828729"
"""UNITED KINGDOM,KINGSWINFORD,DY6 7QQ""
","52.5027454,-2.1642148"
"""ITALY,ERCOLANO,80056""
","40.8079195,14.3481628"
"""ITALY,VILLARBASSE,10090""
","45.044631,7.4672997"
"""TURKEY,KONIA,42050""
","37.9250638,32.5712101"
"""ITALY,CURA CARPIGNANO,27010""
","45.2121049,9.255319"
"""GERMANY,GLUCKSTADT,25348""
","53.7911914,9.4260898"
"""GERMANY,NIEDERAICHBACH,84100""
","48.5929044,12.3167643"
"""ITALY,SPILAMBERTO,41057""
","44.5318187,11.0204491"
"""ITALY,VINOVO (TO),10048""
","44.9464454,7.6327043"
"""UNITED KINGDOM,HARLOW,CM19 5FA""
","51.7673798,0.0658011"
"""UNITED KINGDOM,GATESHEAD,NE11 0SJ""
","54.9296486,-1.6164147"
"""GERMANY,RONNEBURG,7580""
","50.2384162,9.0617334"
"""FRANCE,ROMANS,26106""
","46.1292148,5.1696055"
"""FRANCE,CHATELLERAULT,86100""
","46.816487,0.548146"
"""ITALY,REMEDELLO,25010""
","45.2705088,10.3742664"
"""SPAIN,HOSTALRIC,17450""
","41.7433285,2.6276966"
"""ITALY,CORREGGIO,42015""
","44.7708574,10.7819083"
"""ITALY,FRASSINETO PO,15040""
","45.1332704,8.5347514"
"""FRANCE,ETOILE SUR RHONE,26800""
","44.836929,4.893909"
"""ITALY,NOVA MILANESE,20054""
","45.5932641,9.2033518"
"""ITALY,BARBANIA,10070""
","45.2913024,7.6312054"
"""ITALY,MINERVINO MURGE,70055""
","41.2262126,16.2775445"
"""ITALY,CASERTA,81100""
","41.0854362,14.367553"
"""FRANCE,LES AVENIÈRES,38630""
","45.634915,5.562628"
"""UNITED KINGDOM,ALDRIDGE,WS9 8BG""
","52.6034225,-1.9389459"
"""BELGIUM,RUISELEDE,8755""
","51.0413098,3.3970513"
"""AUSTRIA,SCHWARZACH IM PONGAU,5620""
","47.319699,13.1429164"
"""UNITED KINGDOM,LEICESTER,LE4 9LN""
","52.6622495,-1.0940686"
"""CZECH REPUBLIC,TRHOVY STEPANOV,25763""
","49.7114758,15.0135679"
"""SPAIN,VILLABONA,20150""
","43.1869294,-2.0525483"
"""ITALY,FANANO,41021""
","44.207978,10.7969832"
"""FRANCE,BERGUES,59380""
","50.968519,2.433324"
"""FRANCE,PERSAN,95340""
","49.152233,2.269571"
"""ITALY,CASARILE,20080""
","45.3171122,9.1059821"
"""UNITED KINGDOM,ALTON,GU34 2QG""
","51.153411,-0.9603895"
"""ITALY,CAMPOSANTO,41031""
","44.7903098,11.1368234"
"""GERMANY,BAD SACKINGEN,79713""
","47.5562231,7.9435877"
"""ITALY,DRONERO (CN),12025""
","44.4658423,7.3656691"
"""ITALY,POTENZA PICENA MC,62018""
","43.367398,13.6234038"
"""NETHERLANDS,DIEMEN,1112 AW""
","52.3320319,4.9663719"
"""GERMANY,BIETIGHEIM-BISSINGEN 1,74321""
","48.94232,9.13814"
"""GERMANY,RENNINGEN,71272""
","48.7709618,8.930791"
"""NETHERLANDS,LN EDE,6717""
","52.0188009,5.6689211"
"""FRANCE,MONTARGIS,45120""
","48.014186,2.7623246"
"""GERMANY,REMAGEN,53424""
","50.5732804,7.2385533"
"""SPAIN,SESENA NUEVO,45224""
","40.1095833,-3.6534522"
"""ITALY,FINALE EMILIA,41034""
","44.8324577,11.2911601"
"""ITALY,SALASSA CANAVESE,10080""
","45.3470695,7.6920917"
"""POLAND,LEGNICKIE POLE,59241""
","51.1443537,16.2427819"
"""ITALY,TRIBIANO,20067""
","45.4127421,9.3794296"
"""ITALY,CHIUSANO S. DOMENICO,83040""
","40.931181,14.9169915"
"""ITALY,RIVALTA,10043""
","45.0147812,7.528583"
"""ITALY,BRESCIA,25125""
","45.5203846,10.1857711"
"""ITALY,SAN GILLIO,10040""
","45.142067,7.5317472"
"""GERMANY,BAD SÄCKINGEN,79713""
","47.5562231,7.9435877"
"""UNITED KINGDOM,DONCASTER,DN4 8DH""
","53.5048202,-1.1302449"
"""GERMANY,FRIEDBERG,86316""
","48.3611184,11.0203751"
"""ITALY,MONTECCHIO,42027""
","44.6984016,10.4485047"
"""GERMANY,WALTERSHAUSEN,99867""
","50.919965,10.5485093"
"""GERMANY,AUGSBURG,86167""
","48.3930563,10.9245621"
"""GERMANY,GROSSPOSTWITZ,2692""
","51.1202199,14.4420345"
"""UNITED KINGDOM,ROUND SPINNEY,NN3 8RS""
","52.2782953,-0.8390212"
"""GERMANY,OBERBOIHIGEN,72644""
","48.6480295,9.366719"
"""ITALY,SAN GIOVANNI LUPATOTO,37057""
","45.3823658,11.0444905"
"""POLAND,LIPNO,87-600""
","52.844147,19.1784128"
"""ITALY,COCCAGLIO,25030""
","45.5637534,9.9743178"
"""ITALY,TORINO,10156""
","45.1193476,7.7061494"
"""FRANCE,LE MANS CEDEX2,72018""
","47.9956173,0.1924459"
"""BELGIUM,VILVOORDE,1800""
","50.9272511,4.4257868"
"""ITALY,INVORIO,28045""
","45.7554382,8.4870876"
"""FRANCE,MARMANDE,47220""
","48.3010591,-1.2833809"
"""AUSTRIA,KEMATEN,4633""
","48.1762644,13.859372"
"""ITALY,CERNUSCO LOMBARDONE,23870""
","45.692575,9.402087"
"""BELGIUM,NIVELLES,1400""
","50.5886574,4.3308649"
"""UNITED KINGDOM,DERBY,DE21 4AP""
","52.9479738,-1.4615223"
"""GERMANY,BURGAU,89331""
","48.4257735,10.385155"
"""ITALY,VICENZA,36100""
","45.5454787,11.5354214"
"""FRANCE,ST-PIERRE D'EXIDEUIL,86400""
","46.151206,0.270516"
"""BELGIUM,RONSE,9600""
","50.7535563,3.6075352"
"""POLAND,OLEŚNICA,56-400""
","52.0503669,21.993368"
"""POLAND,SIERPC,09-200""
","52.8568142,19.669432"
"""ITALY,BENTIVOGLIO,40010""
","44.6359227,11.4167591"
"""ITALY,PORTO MANTOVANO,46047""
","45.183209,10.7518186"
"""GERMANY,BARGTEHEIDE,22941""
","53.7287773,10.2656004"
"""ITALY,MONTERUBBIANO,63825""
","43.0872397,13.7178532"
"""UNITED KINGDOM,WOLVERHAMPTON,WV10 9LA""
","52.607076,-2.1246467"
"""FRANCE,LES HAYES,41800""
","47.71508,0.77636"
"""GERMANY,HEILBRONN,74078""
","49.1739546,9.1699726"
"""ITALY,BAGNOLO SAN VITO  MN ,46031""
","45.0923033,10.8781066"
"""UNITED KINGDOM,BURNLEY,BB10 2AR""
","53.8023971,-2.2233105"
"""SLOVAKIA,HLOHOVEC - SULEKOVO,92003""
","48.4267545,17.7724603"
"""ITALY,CASTELLI CALEPIO,24060""
","45.6413946,9.8958239"
"""ITALY,GESSATE,20060""
","45.5565542,9.4348624"
"""ITALY,MILANO,20127""
","45.5000627,9.2273552"
"""FRANCE,SAINT DESIRAT,7340""
","43.286341,0.657351"
"""FRANCE,THOUARS CEDEX,79106""
","46.9913188,-0.2356139"
"""ITALY,ROMANO D'EZZELINO,36060""
","45.7962443,11.758273"
"""GERMANY,LEUTKIRCH IM ALLGAU,88299""
","47.8226062,10.0064024"
"""UNITED KINGDOM,NORTH WALSHAM,NR28 0AJ""
","52.8291752,1.3836286"
"""ITALY,CAMPOGALLIANO,41011""
","44.6917626,10.8448554"
"""FRANCE,RORTHAIS,79700""
","46.916446,-0.707339"
"""FRANCE,FELINES,7340""
","43.234055,2.319904"
"""ITALY,VIGONE,10067""
","44.8430924,7.4956063"
"""ITALY,REGGIO EMILIA,42122""
","44.6989932,10.6296859"
"""ITALY,RIVOLI,10098""
","45.0710902,7.513821"
"""ITALY,VINOVO,10048""
","44.9464454,7.6327043"
"""HUNGARY,SZENTGOTTHARD,9970""
","46.9583052,16.3077203"
"""ITALY,ROCCA S. FELICE,83050""
","40.9493337,15.1654922"
"""ITALY,BENI COMUNALI CREVALCORE,40014""
","44.716014,11.168643"
"""BELGIUM,IEPER,8900""
","50.8619159,2.8927568"
"""ITALY,ARCORE,20043""
","45.6320083,9.3245146"
"""BELGIUM,MECHELEN,2800""
","51.0208132,4.4737954"
"""NETHERLANDS,BARNEVELD,3772 MN""
","52.1245035,5.5665958"
"""FRANCE,CRAN-GEVRIER,74960""
","45.907737,6.106677"
"""ITALY,AGRATE BRIANZA,20041""
","45.5723465,9.3364702"
"""ITALY,IMPRUNETA,50023""
","43.6845156,11.2581395"
"""ITALY,MODENA,41123""
","44.647128,10.9252269"
"""SPAIN,TRETO,39760""
","43.3931135,-3.473316"
"""ITALY,TREZZANO ROSA,20060""
","45.5831283,9.4886612"
"""ITALY,RIMINI,47900""
","44.0597604,12.5702157"
"""ITALY,VENARIA,10078""
","45.1301582,7.6310474"
"""UNITED KINGDOM,SUDBURY,CO10 1XR""
","52.0461206,0.7184998"
"""ITALY,PERTUSIO,10080""
","45.3525762,7.6372133"
"""FRANCE,ELANCOURT CEDEX,78996""
","48.7828978,1.9696239"
"""ITALY,CODOGNO,26845""
","45.1610569,9.7009465"
"""ITALY,ISOLA D'ASTI,14057""
","44.82354,8.1830669"
"""SWITZERLAND,EMBRACH,8424""
","47.5106205,8.5961496"
"""NETHERLANDS,BOLSWARD,8701 MH""
","53.0662756,5.5038667"
"""FRANCE,VENISSIEUX CEDEX,69634""
","45.6822969,4.868556"
"""NETHERLANDS,NIEUWEGEIN,3439NC""
","52.0322013,5.1085338"
"""UNITED KINGDOM,CRAMLINGTON,NE23 8AD""
","55.0898781,-1.6152752"
"""ITALY,CANTARANA D'ASTI,14018""
","44.9111884,8.033475"
"""POLAND,BLONIE,05-870""
","52.1985472,20.6169567"
"""BELGIUM,ANTWERPEN,2030""
","51.2763963,4.3624604"
"""FRANCE,MERKWILLER PECHELBRONN,67250""
","48.939042,7.827382"
"""ITALY,MAPPANO DI CASELLE,10070""
","45.1587614,7.6847131"
"""FRANCE,CHATILLON SUR INDRE,36700""
","46.987223,1.173521"
"""ITALY,LEINI,10040""
","45.1797783,7.716918"
"""SWITZERLAND,BRIG GLIS,3902""
","46.3103096,7.9772064"
"""BELGIUM,TORHOUT,8820""
","51.0656522,3.0856584"
"""GERMANY,ASCHAFFENBURG,63742""
","49.97426,9.15024"
"""ITALY,TORINO,10142""
","45.0716182,7.6123684"
"""POLAND,GDAŃSK,80-718""
","54.3488578,18.6711397"
"""ITALY,BRICHERASIO,10060""
","44.8249815,7.3036025"
"""GERMANY,NEUBRANDENBURG WERNER,17033""
","53.5599871,13.2707484"
"""ITALY,POGGIOFIORITO,66030""
","42.2561468,14.3235507"
"""GERMANY,SCHWEBHEIM,97525""
","49.9895788,10.260068"
"""CZECH REPUBLIC,JICIN,506 48""
","49.576779,17.960956"
"""ITALY,OSASIO,10100""
","44.8481394,7.6218523"
"""BELGIUM,RUMST,2840""
","51.0910115,4.4155779"
"""FRANCE,TRACY LEMONT,60170""
","49.472567,3.01059"
"""SPAIN,VALLADOLID,47010""
","41.6704519,-4.7135268"
"""NETHERLANDS,DOETINCHEM,7008 BC""
","51.9811585,6.2614424"
"""GERMANY,BUEHL,77813""
","51.5543642,8.5490343"
"""FRANCE,BONNEUIL SUR MARNE,94380""
","48.774755,2.487765"
"""GERMANY,HAMM/SIEG,57577""
","50.7660602,7.6778685"
"""ITALY,MANOPPELLO,65024""
","42.2576173,14.0612131"
"""SPAIN,SANTPEDOR,8251""
","41.7562212,1.8401491"
"""GERMANY,WALDKRAIBURG,84478""
","48.2086516,12.4016363"
"""ITALY,GALLARATE,21013""
","45.6657427,8.787926"
"""GERMANY,KOBLENZ,56070""
","50.385786,7.581679"
"""ITALY,PAVULLO NEL FRIGNANO,41026""
","44.3365935,10.8335633"
"""FRANCE,NARBONNE,11100""
","43.184277,3.003078"
"""ITALY,REGGIOLO ,42046""
","44.9177593,10.8025268"
"""TURKEY,CAYIROVA/GEBZE,41400""
","40.824215,29.372234"
"""ITALY,FLERO ,25020""
","45.4827412,10.1789011"
"""UNITED KINGDOM,DAVENTRY,NN11 8 RA""
","52.2715937,-1.186452"
"""FRANCE,CHERBOURG OCTEVILLE,50130""
","49.6233258,-1.6469028"
"""UNITED KINGDOM,WINSFORD,CW7 3PZ""
","53.1922737,-2.4919255"
"""GERMANY,WIESBADEN,65201""
","50.049155,8.1878001"
"""BELGIUM,ZWEVEZELE-WINGENE,8750""
","51.0366689,3.1671237"
"""GERMANY,BIETIGHEIM BISSINGEN,74321""
","48.9535682,9.1241772"
"""ITALY,ARNAD,11020""
","45.6420224,7.7237854"
"""FRANCE,GIEN,45500""
","47.698059,2.624758"
"""GERMANY,WIPPERFURTH,51679""
","51.1185898,7.417016"
"""ITALY,CERVERE,12040""
","44.6362019,7.7898925"
"""UNITED KINGDOM,RUGBY,CV23 0PB""
","52.401089,-1.2373538"
"""FINLAND,TAMPERE,33330""
","61.5113481,23.5749858"
"""BELGIUM,HEULE KORTRIJK,8501""
","50.8431958,3.23472"
"""POLAND,BIELSKO BIALA,43-300""
","49.8223768,19.0583845"
"""GERMANY,SALZGITTER,38228""
","52.1361843,10.2876225"
"""ITALY,SAN MARTINO ALFIERI,14010""
","44.8182802,8.1090744"
"""BELGIUM,BRUSSELS (HAREN),1130""
","50.8922905,4.4176727"
"""ITALY,DESIO,20033""
","45.6128681,9.2124743"
"""ITALY,ADRO,25030""
","45.6201335,9.9575541"
"""FRANCE,LORIOL,26270""
","44.751895,4.822375"
"""DENMARK,MIDDELFART,5500""
","55.497204,9.747172"
"""ITALY,TRICASE,73039""
","39.9302065,18.3584374"
