,0
"""SPAIN,SAN FERNANDO DE HENARES,28830""
","40.4290529,-3.5104537"
"""ITALY,CORIO,10070""
","45.3117416,7.5334354"
"""UNITED STATES,MOSINEE,54455""
","44.7930232,-89.7031784"
"""ITALY,TORINO,10127""
","45.0214756,7.660209"
"""FRANCE,HAYBES SUR MEUSE,8170""
","50.0021915,4.7074919"
"""ITALY,CASTELMELLA,25030""
","45.4960787,10.1441602"
"""ITALY,NIBBIA,28060""
","45.4868195,8.5561393"
"""GERMANY,FILDERSTADT,70794""
","48.6628873,9.2094818"
"""ITALY,SANT'AGATA FELTRIA,47866""
","43.8638203,12.2112152"
"""UNITED KINGDOM,WITNEY,OX28 4BP""
","51.7775946,-1.4828931"
"""NETHERLANDS,DIEMEN,1112 AV""
","52.3325543,4.9666897"
"""ITALY,RENATE BRIANZA,20838""
","45.7266863,9.2824692"
"""ITALY,GENOVA,16154""
","44.4387432,8.8307626"
"""GERMANY,VILLINGEN-SCHWENNINGEN,78052""
","48.0410653,8.4109794"
"""GERMANY,WUPPERTAL,42279""
","51.2965912,7.2409927"
"""PORTUGAL,PORTALEGRE,7300-058""
","39.2628106,-7.4346667"
"""GERMANY,KERPEN,50169""
","50.8754649,6.7381124"
"""UNITED KINGDOM,ALTON, HAMPSHIRE,GU34 2QG""
","51.1335202,-0.9819824"
"""CZECH REPUBLIC,DACICE,380 17""
","49.075956,15.4314891"
"""FRANCE,MORIGNY CHAMPIGNY ETAMPES,91150""
","48.4381946,2.1774795"
"""FRANCE,CHAMPAGNE,7340""
","47.6289109,-0.4548955"
"""GERMANY,LIMBACH-OBERFROHNA,9212""
","50.8520591,12.7512425"
"""ITALY,BOLOGNA,40131""
","44.5252796,11.3261664"
"""GERMANY,ENDINGEN A.K,79346""
","48.1327914,7.673796"
"""NETHERLANDS,ALMERE,1314 AL""
","52.3811428,5.2119796"
"""BELGIUM,AARTSELAAR,2630""
","51.1340539,4.3844742"
"""GERMANY,WETTER,58300""
","51.3785418,7.3632022"
"""ITALY,CASCINE VICA - RIVOLI,10090""
","45.0699446,7.5404307"
"""GERMANY,LANGENHAGEN,30855""
","52.4879267,9.6900251"
"""ITALY,AIRASCA,10060""
","44.9182892,7.4856624"
"""FRANCE,MEYZIEU,69330""
","45.766821,5.003658"
"""ITALY,LAINATE,2020""
","45.5427416,9.0329893"
"""FRANCE,TOULAUD,7130""
","44.6739788,4.619363"
"""GERMANY,HORB,72160""
","48.4544359,8.6481543"
"""ITALY,TERRUGGIA,15030""
","45.0824039,8.4446473"
"""UNITED KINGDOM,HAVANT,PO9 2NB""
","50.8658899,-0.9671372"
"""ITALY,CASTEL SAN PIETRO TERME,40024""
","44.3996931,11.5891279"
"""BELGIUM,SINT-TRUIDEN,3800""
","50.8019192,5.2202655"
"""GERMANY,KASSEL,34123""
","51.3011458,9.5253672"
"""UNITED KINGDOM,BROUGH,HU15 1EG""
","53.7254276,-0.5792154"
"""BELGIUM,DESTELDONK,9042""
","51.1220868,3.7825691"
"""GERMANY,SELM,59379""
","51.6774905,7.4837764"
"""CZECH REPUBLIC,BELOTIN,753 64""
","49.5912004,17.8065479"
"""ITALY,OSIO SOTTO ,24046""
","45.6130227,9.5873327"
"""POLAND,MYSLOWICE,41-409""
","50.1785278,19.1724233"
"""ITALY,SOZZIGALLI DI SOLIERA,41019""
","44.7487848,10.9760089"
"""ITALY,SETTIMO MILANESE,20019""
","45.4866596,9.0567416"
"""SPAIN,ELORRIO,48230""
","43.1295589,-2.5423293"
"""UNITED KINGDOM,ROCHESTER,ME1 2XX""
","51.3571155,0.5033109"
"""GERMANY,KÖNIGSBRONN,89551""
","48.7285526,10.1112206"
